Bin#,Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
12-Nov,Goodwill NW Loop 410,Anthropologie Holding Horses Aztec Long Sleeve Dress 4,A0582,$2.40 ,$2.59 ,2/19/2020,20202,,,,,,,,,916
12-Nov,Goodwill NW Loop 410,Francesca's Boho Scoop Neck Dress S,A0584,$3.25 ,$3.51 ,2/19/2020,20202,,,,,,,,,916
7,Closet,GAP Italian Merino Wool Sweater V-Neck S,A0586,$0.00 ,$0.00 ,2/26/2020,20202,,,,,,,,,909
7,Closet,Liz Claiborne Floral Crew Neck Blouse S,A0589,$0.00 ,$0.00 ,2/26/2020,20202,,,,,,,,,909
1,Closet,Express Racer Back Gold Sequin Tank S,A0598,$0.00 ,$0.00 ,2/25/2020,20202,,,,,,,,,910
1,Closet,Express racer Back White Sequin Tank XS,A0601,$0.00 ,$0.00 ,2/25/2020,20202,,,,,,,,,910
N/A,Texas Thrift Store,Lucky Brand Embany Tan Quilted Ballet Flat 6,A0625,$3.49 ,$3.77 ,2/27/2020,20202,,,,,,,,,908
1,Texas Thrift Store,Athleta High Low Hem T Shirt Coral S,A0642,$0.99 ,$1.07 ,3/3/2020,20203,Poshmark,$16.00 ,$3.20 ,$0.00 ,$12.80 ,$11.73 ,8/16/2021,20218,531
10-Sep,Closet,GAP Premium Super Skinny Black Jeans 2,A0648,$0.00 ,$0.00 ,2/29/2020,20202,,,,,,,,,906
10-Sep,Closet,AEO Super Stretch Skinny Jeans 2 Long,A0649,$0.00 ,$0.00 ,2/29/2020,20202,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$16.00 ,12/2/2021,202112,642
1,Goodwill Kyle,Chaser Maroon Henley Thermal Long Sleeve S,A0653,$3.50 ,$3.78 ,3/4/2020,20203,,,,,,,,,902
1,Goodwill Kyle,Harley Davidson Thermal Henley Embroidered Aztec Sleeve XS,A0654,$6.99 ,$7.57 ,3/4/2020,20203,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$8.43 ,9/12/2021,20219,557
,Goodwill Bins N ATX,J. Crew Cap Toe Ballet Flat Bow 6.5,A0655,$0.85 ,$0.92 ,3/30/2020,20203,Poshmark,$22.00 ,$4.40 ,$7.45 ,$10.15 ,$9.23 ,4/7/2021,20214,373
N/A,Goodwill Bins N ATX,Altar'd State Espadrilles Platform Wedge 8.5,A0658,$0.85 ,$0.92 ,,,,,,,,,,,
7,Goodwill Bins N ATX,Nike DriFit Pink V-Neck Short Sleeve T-Shirt XS,A0668,$0.85 ,$0.92 ,3/5/2020,20203,,,,,,,,,901
3,Goodwill Bins N ATX,NASA Classic Graphic T Shirt Blue Unisex S,A0670,$0.85 ,$0.92 ,3/5/2020,20203,,,,,,,,,901
7,Goodwill Bins N ATX,GB Boho Lace Peplum Long Sleeve Blouse M,A0677,$0.85 ,$0.92 ,3/6/2020,20203,,,,,,,,,900
4,Goodwill Bins N ATX,Embroidered Floral V Neck T Shirt S,A0682,$0.85 ,$0.92 ,4/2/2021,20214,,,,,,,,,508
14,Goodwill Bins N ATX,Vintage College Town Light Blue Skirt 7/8,A0685,$0.85 ,$0.92 ,7/17/2020,20207,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$15.08 ,10/4/2021,202110,444
1,Goodwill Bins N ATX,Daisy Fuentes Sleevless Top S,A0686,$0.85 ,$0.92 ,3/6/2020,20203,Poshmark,$16.00 ,$3.20 ,$0.00 ,$12.80 ,$11.88 ,10/17/2021,202110,590
5,Goodwill Bins N ATX,PureJill Open Front Tie Waist Cardigan M Petite,A0689,$0.85 ,$0.92 ,7/25/2020,20207,,,,,,,,,759
3,Goodwill Bins N ATX,Talori Striped Draped Long Sleeve Blouse Wrap M,A0690,$0.85 ,$0.92 ,7/24/2020,20207,,,,,,,,,760
1,Goodwill Bins N ATX,Paper Crane Cowl Neck Waffle Knit Cross Front Top M,A0692,$0.85 ,$0.92 ,3/3/2020,20203,,,,,,,,,903
WEARING,Goodwill Bins N ATX,J. Crew Charcoal Crew Neck Sweatshirt S,A0694,$0.85 ,$0.92 ,WEARING,,,,,,,,,,
7,Goodwill Bins N ATX,aerie floral lace boho keyhole short sleeve top S,A0695,$0.85 ,$0.92 ,3/3/2020,20203,,,,,,,,,903
,Goodwill Bins N ATX,J. Jill Wearever Smooth Fit Black Maxi Skirt M,A0696,$0.85 ,$0.92 ,3/13/2020,20203,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$15.08 ,1/24/2021,20211,317
2,Goodwill Bins N ATX,Banana Republic Striped Short Sleeve Tie Front Blouse L,A0703,$0.85 ,$0.92 ,3/4/2020,20203,,,,,,,,,902
N/A,Texas Thrift Store,Sam Edelman Blue Gigi Thong Sandal 7.5,A0705,$2.49 ,$2.70 ,3/30/2020,20203,,,,,,,,,876
12-Nov,Goodwill Bins N ATX,Angie Boho Paisley Hippie Gypsy Dress S,A0710,$0.85 ,$0.92 ,3/19/2020,20203,,,,,,,,,887
14,Closet,You're The Bomb Lavender Bath Bombs,A0721,$0.00 ,$0.00 ,3/30/2020,20203,,,,,,,,,876
7,Garage Sale,Express Sexy Basic Sequin Grey Tank M,A0729,$0.50 ,$0.50 ,3/7/2020,20203,,,,,,,,,899
3,Garage Sale,Maison Jules Knit Striped High / Low Sweater M,A0734,$0.50 ,$0.50 ,7/18/2020,20207,,,,,,,,,766
12-Nov,Garage Sale,Cynthia Rowley Embellished Shift Dress M,A0736,$0.50 ,$0.50 ,3/8/2020,20203,,,,,,,,,898
,Garage Sale,Philosophy Embellished Black T Shirt Plus Size 2X,A0737,$3.00 ,$3.00 ,3/8/2020,20203,Poshmark,$12.00 ,$2.95 ,$0.00 ,$9.05 ,$6.05 ,5/31/2021,20215,449
2,Garage Sale,Tempted Hearts Paisley Blouse Plus Size Blouse 3X,A0738,$3.00 ,$3.00 ,3/5/2020,20203,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$9.00 ,9/6/2021,20219,550
1,Garage Sale,Cynthia Rowley Abstract Printed Tank Plus Size 1X,A0739,$3.00 ,$3.00 ,3/8/2020,20203,,,,,,,,,898
N/A,Goodwill N Loop 1604,Stubbs & Wootton Black Velvet Maltese Cross 5.5,A0743,$6.99 ,$7.57 ,3/30/2020,20203,,,,,,,,,876
,Goodwill N Loop 1604,St. John Collection Brown Knit Pants Wide Leg 8,A0744,$4.79 ,$5.19 ,3/13/2020,20203,Poshmark,$35.00 ,$7.00 ,$0.00 ,$28.00 ,$22.81 ,2/27/2021,20212,351
,Goodwill N Loop 1604,J. Jill Plaid Button Down L,A0747,$4.79 ,$5.19 ,3/6/2020,20203,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$6.81 ,2/26/2021,20212,357
N/A,Texas Thrift Store,Halogen Ballet Flat Zipper Flower Rose Metallic 9,A0631,$6.99 ,$7.56 ,3/31/2020,20203,Poshmark,$30.00 ,$6.00 ,$0.00 ,$24.00 ,$16.44 ,9/24/2021,20219,542
N/A,Texas Thrift Store,Lucky Brand Kyndra Espadrille Wedge Open Toe Sandal 8,A0750,$2.99 ,$3.24 ,3/31/2020,20203,,,,,,,,,875
N/A,Texas Thrift Store,Call it Spring Vegan High Top Tan Ankle Bootie Aztec 9,A0751,$4.89 ,$5.29 ,3/31/2020,20203,Poshmark,$16.00 ,$3.20 ,$0.00 ,$12.80 ,$7.51 ,9/24/2021,20219,542
,Texas Thrift Store,Anthro Pins and Needles Boho Floral Peasant Top M,A0754,$2.49 ,$2.70 ,3/17/2020,20203,Poshmark,$17.00 ,$3.40 ,$0.00 ,$13.60 ,$10.90 ,2/21/2021,20212,341
7,Texas Thrift Store,Knox Rose Floral Paisley Ruffle Boho Peasant Top XS,A0755,$2.99 ,$3.24 ,3/18/2020,20203,,,,,,,,,888
2,Texas Thrift Store,CAbi Arabesque Cami Boho Tank S,A0758,$1.49 ,$1.61 ,3/17/2020,20203,,,,,,,,,889
2,Texas Thrift Store,Minkpink Floral Tank Mesh V-Neck XS,A0761,$0.99 ,$1.07 ,3/17/2020,20203,,,,,,,,,889
2,Texas Thrift Store,Skies Are Blue StitchFix NWT Paisley Muller Ruffle Detail Blouse Sleeveless SP,A0763,$3.98 ,$4.31 ,3/13/2020,20203,,,,,,,,,893
1,Texas Thrift Store,CAbi Ruffle Semi-Sheer Sleeveless Tunic Tank XS,A0766,$3.98 ,$4.31 ,3/16/2020,20203,,,,,,,,,890
,Texas Thrift Store,WHBM Silk Stretch Leopard Print Tank 2,A0768,$1.49 ,$1.61 ,3/16/2020,20203,Poshmark,$17.00 ,$3.40 ,$2.46 ,$11.14 ,$9.53 ,2/25/2021,20212,346
2,Texas Thrift Store,Painted Threads Striped Knit Kimono Cardigan S,A0770,$2.49 ,$2.70 ,3/16/2020,20203,,,,,,,,,890
WEARING,Texas Thrift Store,ZARA Basic Collection Charcoal Tank S,A0772,$2.09 ,$2.26 ,WEARING,,,,,,,,,,
7,Texas Thrift Store,PINK Victoria's Secret Lace Long Sleeve Top Mint Green M,A0774,$3.49 ,$3.78 ,3/16/2020,20203,,,,,,,,,890
2,Texas Thrift Store,Umgee Plaid Button Down Lace Hem M,A0776,$2.49 ,$2.70 ,3/16/2020,20203,,,,,,,,,890
,Texas Thrift Store,UO Silence + Noise NWT Hooded Muscle Tank S,A0777,$2.09 ,$2.26 ,3/30/2021,20213,Poshmark,$20.00 ,$4.00 ,$2.46 ,$13.54 ,$11.28 ,5/29/2021,20215,60
2,Texas Thrift Store,Joie Eniko C Embroidered Tassel 100% Silk Tank Top XS,A0778,$2.49 ,$2.70 ,3/16/2020,20203,,,,,,,,,890
12-Nov,Texas Thrift Store,Francesca's Pale Pink High Neck Fit & Flare Dress S,A0779,$4.99 ,$5.40 ,3/14/2020,20203,,,,,,,,,892
,Texas Thrift Store,Meraki Racer Back Tie Tunic Tank S,A0780,$1.99 ,$2.15 ,3/14/2020,20203,Poshmark,$21.29 ,$4.26 ,$1.06 ,$15.96 ,$13.81 ,5/28/2021,20215,440
2,Texas Thrift Store,Express Floral V-Neck Cuffed Sleeve Blouse S,A0781,$3.49 ,$3.77 ,3/14/2020,20203,Poshmark,$16.00 ,$3.20 ,$0.00 ,$12.80 ,$9.03 ,9/16/2021,20219,551
1,Texas Thrift Store,Altar'd State NWT Lace Ombre Tank S,A0784,$3.49 ,$3.77 ,3/14/2020,20203,,,,,,,,,892
2,Texas Thrift Store,Crescent NWT Lace Back Button Down Tank S,A0785,$3.49 ,$3.77 ,3/14/2020,20203,,,,,,,,,892
7,Texas Thrift Store,J. Crew Horizontal Stripe 3/4 Sleeve Top M,A0786,$1.49 ,$1.61 ,3/13/2020,20203,,,,,,,,,893
2,Texas Thrift Store,CAbi Clover Dots Cuffed Silk Button Down S,A0805,$1.99 ,$2.15 ,3/24/2020,20203,,,,,,,,,882
2,Texas Thrift Store,Anthro Holding Horses Navy Light Weight Tunic S,A0806,$2.49 ,$2.70 ,3/24/2020,20203,,,,,,,,,882
2,Texas Thrift Store,Lucky Brand T Shirt Crew Neck S,A0810,$2.49 ,$2.70 ,3/23/2020,20203,,,,,,,,,883
12-Nov,Texas Thrift Store,The North Face Women's Tunic Dress Shirt M,A0811,$3.49 ,$3.78 ,3/23/2020,20203,,,,,,,,,883
2,Texas Thrift Store,J. Crew Tank Top Crochet Floral Lace Front M,A0814,$2.49 ,$2.70 ,3/24/2020,20203,,,,,,,,,882
2,Texas Thrift Store,Express Leopard Print Tank Knotted Front L,A0817,$1.49 ,$1.61 ,3/28/2020,20203,Poshmark,$12.50 ,$3.12 ,$3.73 ,$5.66 ,$4.04 ,10/8/2021,202110,559
,Texas Thrift Store,WHBM NWT Dahlia Tassel Top Black Floral M,A0819,$4.99 ,$5.40 ,3/28/2020,20203,Poshmark,$28.00 ,$5.60 ,$2.46 ,$19.94 ,$14.54 ,4/21/2021,20214,389
2,Texas Thrift Store,Everly Tank Abstract Coral M,A0820,$1.99 ,$2.15 ,3/28/2020,20203,,,,,,,,,878
2,Texas Thrift Store,Pure Barre 20 in 31 Tank L,A0822,$0.99 ,$1.07 ,3/28/2020,20203,,,,,,,,,878
wearing,Texas Thrift Store,Tally Weijl Elephant Boho Festival Tank XS,A0823,$0.99 ,$1.07 ,WEARING,,,,,,,,,,
,Texas Thrift Store,Zara Basic Patchwork Sleeveless Romper M,A0825,$2.49 ,$2.70 ,4/4/2020,20204,Poshmark,$22.00 ,$4.40 ,$0.00 ,$17.60 ,$14.90 ,7/10/2021,20217,462
,Texas Thrift Store,Zella Mesh Capri Legging NWT Mid Rise XS,A0828,$3.49 ,$3.78 ,4/3/2020,20204,Poshmark,$28.00 ,$5.60 ,$2.46 ,$19.94 ,$16.16 ,3/18/2021,20213,349
,Texas Thrift Store,ZARA Paisley Print Lace Sleeve Blouse ,A0831,$1.99 ,$2.15 ,4/3/2021,20214,Poshmark,$18.00 ,$3.60 ,$0.00 ,$14.40 ,$12.25 ,6/7/2021,20216,65
2,Texas Thrift Store,CAbi Flutter Camo Tank Top Green & Brown Stripe M,A0833,$1.99 ,$2.15 ,4/5/2020,20204,,,,,,,,,870
2,Texas Thrift Store,LUSH Racer Back Green Floral Tank S,A0834,$1.99 ,$2.15 ,4/4/2020,20204,,,,,,,,,871
,Texas Thrift Store,Melrose and Market Sharkbite Floral Tank NWT XS,A0835,$2.99 ,$3.24 ,4/4/2020,20204,Poshmark,$13.00 ,$2.95 ,$0.00 ,$10.05 ,$6.81 ,3/18/2021,20213,348
2,Texas Thrift Store,Francesca's Alya Floral Boho Tank S,A0836,$1.99 ,$2.15 ,4/2/2020,20204,,,,,,,,,873
2,Texas Thrift Store,AEO Beaded Southwestern Tribal Tank S,A0838,$1.49 ,$1.61 ,4/9/2020,20204,,,,,,,,,866
12-Nov,Texas Thrift Store,Altar'd State Blue Lace Cut Out Dress XS,A0839,$2.99 ,$3.24 ,4/2/2020,20204,,,,,,,,,873
2,Texas Thrift Store,Athleta Coral Swing Tank XS,A0840,$0.99 ,$1.07 ,4/2/2020,20204,,,,,,,,,873
2,Texas Thrift Store,Pleione High Low Hem Sleeveless Blouse Dot Pattern XS,A0842,$2.49 ,$2.70 ,4/6/2020,20204,,,,,,,,,869
2,Texas Thrift Store,The Limited Chambray Sleeveless Button Down S,A0843,$1.49 ,$1.61 ,4/2/2020,20204,,,,,,,,,873
2,Texas Thrift Store,J. Crew Ruffle Front Tank M,A0845,$2.49 ,$2.70 ,4/6/2020,20204,,,,,,,,,869
,Texas Thrift Store,Matilda Jane Polka Dot Lace Hem Tank S,A0846,$1.99 ,$2.15 ,4/3/2020,20204,Poshmark,$21.29 ,$4.26 ,$1.06 ,$15.96 ,$13.81 ,5/28/2021,20215,420
2,Texas Thrift Store,Silence + Noise UO Red Aztec Racerback Tank XS,A0851,$1.99 ,$2.15 ,4/13/2020,20204,,,,,,,,,862
2,Texas Thrift Store,Zella All Day Waffle Knit Strappy Tank NWT S,A0852,$2.49 ,$2.70 ,4/13/2020,20204,,,,,,,,,862
2,Texas Thrift Store,Melrose and Market NWT Boho Tank S,A0854,$2.99 ,$3.24 ,4/13/2020,20204,,,,,,,,,862
2,Texas Thrift Store,Melrose and Market NWT Boho Tank XS,A0855,$2.99 ,$3.24 ,4/13/2020,20204,,,,,,,,,862
2,Texas Thrift Store,BCBGMaxAzria Coral Sleeveless High / Low Hem Tank XS,A0860,$2.49 ,$2.70 ,4/18/2020,20204,,,,,,,,,857
2,Texas Thrift Store,Adrianna Papell Icy Blue Embroidard V Neck Sharkbite Tank S,A0861,$4.99 ,$5.40 ,4/18/2020,20204,,,,,,,,,857
2,Texas Thrift Store,Horny Toad Button Down Tank XS,A0862,$1.49 ,$1.61 ,4/17/2020,20204,,,,,,,,,858
7,Texas Thrift Store,Olive & Oak Semi Sheer Blue White Stripe Tank S,A0863,$2.49 ,$2.70 ,4/17/2020,20204,,,,,,,,,858
2,Texas Thrift Store,Market & Spruce Joney Lace Detail Knit Top NWT S,A0864,$2.99 ,$3.24 ,4/14/2020,20204,,,,,,,,,861
,Texas Thrift Store,The North Face Culture Touring Tank S,A0866,$2.99 ,$3.24 ,4/15/2020,20204,Poshmark,$18.00 ,$3.60 ,$7.45 ,$6.95 ,$3.71 ,7/3/2021,20217,444
12-Nov,Texas Thrift Store,Michael Stars White Tassel Semi Sheer Shift Dress S,A0868,$2.99 ,$3.24 ,4/14/2020,20204,,,,,,,,,861
10-Sep,Closet,Nike Capri Dri Fit Crop High Waist M,A0871,$0.00 ,$0.00 ,3/16/2021,,,,,,,,,,525
14,Closet,Lululemon Strappy Sports Bra Black,A0872,$25.50 ,$25.50 ,12/23/2020,,Poshmark,$39.00 ,$7.80 ,$7.45 ,$23.75 ,($1.75),7/25/2021,20217,214
14,Facebook Marketplace,Bar III Purple Romper Shorts V-Neck Pockets XL,A0880,$3.29 ,$3.29 ,5/11/2020,20205,,,,,,,,,834
3,Facebook Marketplace,Love Riche NWT Black Long Sleeve Tunic Blouse M,A0882,$3.29 ,$3.29 ,5/8/2020,20205,,,,,,,,,837
4,Facebook Marketplace,Deletta Anthro Corinthian Beaded Shoulder Boho Top M,A0883,$3.29 ,$3.29 ,5/5/2020,20205,,,,,,,,,840
,Facebook Marketplace,BlankNYC Vegan Faux Leather Pants Skinny 28,A0885,$3.29 ,$3.29 ,5/4/2020,20205,Poshmark,$38.00 ,$7.60 ,$7.45 ,$22.95 ,$19.66 ,4/8/2021,20214,339
10-Sep,Facebook Marketplace,Calvin Klein Dress Pant Charcoal 10,A0886,$3.29 ,$3.29 ,5/4/2020,20205,,,,,,,,,841
3,Facebook Marketplace,Abound Short Sleeve Knit Tunic T Pocket L,A0887,$3.29 ,$3.29 ,5/11/2020,20205,,,,,,,,,834
14,Facebook Marketplace,Banana Republic Midi Pencil Skirt Linen Cream Stretch 4,A0888,$3.29 ,$3.29 ,6/3/2020,20206,Poshmark,$28.00 ,$5.60 ,$0.00 ,$22.40 ,$19.11 ,12/2/2021,202112,547
3,Facebook Marketplace,New York & Company Checkered Lace Blouse S,A0889,$3.29 ,$3.29 ,5/11/2020,20205,,,,,,,,,834
5,Facebook Marketplace,Lucy Active Zip Up Jacket M,A0890,$3.29 ,$3.29 ,5/4/2020,20205,,,,,,,,,841
,Facebook Marketplace,Old Navy NWT Low Rise Cotton Chino Short 8,A0892,$3.29 ,$3.29 ,5/4/2020,20205,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$8.71 ,4/17/2021,20214,348
WEARING,Facebook Marketplace,Old Navy Black Floral Flutter Sleeve Dress M Petite,A0893,$3.29 ,$3.29 ,WEARING,,,,,,,,,,
3,Facebook Marketplace,Gears of War 3 Rare Graphic T Shirt S,A0897,$0.54 ,$0.54 ,5/5/2020,20205,,,,,,,,,840
6,Clothes Mentor Selma,Patrons of Peace Boho Paisely Tank L,A0903,$2.46 ,$2.66 ,7/26/2020,20207,,,,,,,,,758
2,Clothes Mentor Selma,Umgee Patchwork Boho Floral Lace Tunic Tank S,A0904,$2.46 ,$2.66 ,7/26/2020,20207,,,,,,,,,758
3,Clothes Mentor Selma,Modern Lux Cactus Southwestern Desert Graphic T L,A0907,$3.16 ,$3.42 ,5/6/2020,20205,,,,,,,,,839
3,Clothes Mentor Selma,Altar'd State Linen/Cotton Blend Striped Tie Tee S,A0909,$5.26 ,$5.69 ,4/3/2021,20214,Poshmark,$28.00 ,$5.60 ,$0.00 ,$22.40 ,$16.71 ,8/16/2021,20218,135
12-Nov,Clothes Mentor Selma,J. Jill Double Layer Tunic Top / Mini Dress Paisley M,A0910,$6.67 ,$7.22 ,5/12/2020,20205,,,,,,,,,833
12-Nov,Clothes Mentor Selma,Lilly Pulitzer Edna Dress Tile Wave XS NWOT,A0913,$10.86 ,$11.76 ,8/24/2020,20208,,,,,,,,,729
3,Clothes Mentor Selma,Zara Floral Lace Embroidered T-Shirt Blouse M,A0914,$5.26 ,$5.69 ,5/8/2020,20205,,,,,,,,,837
3,Clothes Mentor Selma,Fifth Sun Making Pour Decisions Graphic Tank M,A0916,$1.06 ,$1.15 ,5/12/2020,20205,,,,,,,,,833
2,Clothes Mentor Selma,Umgee Lace Boho Tassel Dress M,A0917,$1.76 ,$1.91 ,5/12/2020,20205,,,,,,,,,833
3,Clothes Mentor Selma,Umgee Lace Mock Neck Coral Blouse M,A0918,$4.56 ,$4.94 ,5/13/2020,20205,,,,,,,,,832
,Clothes Mentor Selma,A'reve Anthro Lace Tulle Tunic Blouse Sleeveless M,A0919,$5.96 ,$6.45 ,5/11/2020,20205,,,,,,,,,834
2,Clothes Mentor Selma,Umgee Dolman Sleeve Boho Oversize Blouse M,A0921,$5.26 ,$5.69 ,5/13/2020,20205,,,,,,,,,832
,Clothes Mentor Online,Lilly Pulitzer Pearl Lace Blue First Impressions 8,A0926,$18.00 ,$18.00 ,5/14/2020,20205,Poshmark,$85.00 ,$17.00 ,$7.45 ,$60.55 ,$42.55 ,7/12/2021,20217,424
10-Sep,Poshmark,AEO Straight Leg Stretch Dark Wash Jeans 0 Short,A0929,$6.49 ,$6.49 ,5/23/2020,20205,,,,,,,,,822
,Poshmark,WHBM Straight Leg Pants Button Detail 4,A0930,$6.49 ,$6.49 ,7/9/2020,20207,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$5.51 ,1/24/2021,20211,199
N/A,Poshmark,ALDO Black Ankle Bootie Black Rhinestone 7.5,A0933,$6.49 ,$6.49 ,6/27/2020,20206,,,,,,,,,787
5,ThredUp,Pink Rose Boho Floral Blouse High/Low Hem XS,A0935,$5.40 ,$5.85 ,5/17/2020,20205,,,,,,,,,828
3,ThredUp,42pops Sequin Sleeve Knit Pocket Tee M,A0936,$5.00 ,$5.41 ,6/2/2020,20206,,,,,,,,,812
12-Nov,ThredUp,Boho Cream Crochet Slip Dress S,A0937,$5.00 ,$5.41 ,7/27/2020,20207,,,,,,,,,757
12-Nov,ThredUp,Love Tree Boho Floral Sleeveless Dress S,A0938,$4.00 ,$4.33 ,5/17/2020,20205,,,,,,,,,828
12-Nov,ThredUp,Everly Boho Hippie Sleeveless Shift Dress S,A0940,$5.00 ,$5.41 ,5/23/2020,20205,,,,,,,,,822
,ThredUp,Boho Black Blouse with White Pattern S,A0941,$4.50 ,$4.87 ,6/2/2020,20206,,,,,,,,,812
4,ThredUp,Boho Green Blouse with White Pattern L,A0942,$5.00 ,$5.41 ,6/2/2020,20206,,,,,,,,,812
12-Nov,ThredUp,Collective Concepts Dress Bat Wing Sleeve Elastic Waist S,A0947,$4.20 ,$4.55 ,5/15/2020,20205,,,,,,,,,830
12-Nov,ThredUp,Bohemian A-Line Dress 3/4 Sleeves S,A0950,$4.00 ,$4.33 ,5/16/2020,20205,,,,,,,,,829
5,ThredUp,41Hawthorn Beckett V-Neck Sleeveless Blouse M,A0951,$4.80 ,$5.20 ,5/16/2020,20205,,,,,,,,,829
,Goodwill Austin Hwy,WHBM The Slim Jegging Mid Rise Dark Wash Distressed 4,A0958,$6.39 ,$6.92 ,5/21/2020,20205,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$9.08 ,1/4/2021,20211,228
,Goodwill Austin Hwy,WHBM The Skinny Crop Light Wash Distressed Mid Rise 2,A0959,$6.39 ,$6.92 ,5/23/2020,20205,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$9.08 ,1/17/2021,20211,239
N/A,Goodwill Austin Hwy,Sam Edelman Circus Bomb Shell Striped Espadrilles 7,A0960,$3.99 ,$4.32 ,6/27/2020,20206,,,,,,,,,787
3,Goodwill NW Loop 410,Club Monaco NWOT Peplum Tank Metallic Silver Arrows S,A0962,$4.79 ,$5.19 ,6/3/2020,20206,Poshmark,$34.00 ,$6.80 ,$0.00 ,$27.20 ,$22.01 ,12/16/2021,202112,561
6,Goodwill NW Loop 410,Lilly Pulitzer Captiva Tunic Resort White XS,A0964,$6.49 ,$7.03 ,7/27/2020,20207,,,,,,,,,757
3,Goodwill Austin Hwy,Zara Woman Poplin Top Striped Tie Front S,A0967,$4.79 ,$5.19 ,6/4/2020,20206,,,,,,,,,810
WEARING,Goodwill Austin Hwy,Brandy Melville Gabriella Long Sleeve Black Romper OS,A0968,$6.49 ,$7.03 ,WEARING,,,,,,,,,,
4,Goodwill Austin Hwy,Harley Davidson Unisex Museum T Shirt Black M,A0970,$2.99 ,$3.24 ,6/6/2020,20206,,,,,,,,,808
5,Goodwill Austin Hwy,Harley Davidson Women's Graphic T Shirt Black V Neck L,A0971,$4.79 ,$5.19 ,6/6/2020,20206,,,,,,,,,808
12-Nov,Goodwill Austin Hwy,Fame and Partners Rivera Polka Dot Long Sleeve Dress 6,A0975,$6.49 ,$7.03 ,6/8/2020,20206,,,,,,,,,806
12-Nov,Goodwill Austin Hwy,St. John Collection Silk Floral Sleeveless Dress 8,A0976,$6.49 ,$7.03 ,6/7/2020,20206,,,,,,,,,807
12-Nov,Goodwill Austin Hwy,Badgley Mischka Collection LBD Black Color Block Sleeveless Dress 8,A0977,$6.49 ,$7.03 ,6/4/2020,20206,,,,,,,,,810
10-Sep,Goodwill Cibolo,Nike Club Cropped Legging Capri Pink Black S,A0984,$4.79 ,$5.19 ,5/22/2020,20205,,,,,,,,,823
10-Sep,Goodwill Cibolo,Rag & Bone Green Gables Coated Denim Legging Jeans 25,A0985,$4.79 ,$5.19 ,5/23/2020,20205,Poshmark,$61.00 ,$12.20 ,$7.45 ,$41.35 ,$36.16 ,9/20/2021,20219,485
7,Goodwill Austin Hwy,Cable & Gauge Color Block Knit Top 3/4 Sleeve S,A0987,$4.79 ,$5.19 ,5/24/2020,20205,,,,,,,,,821
WEARING,Goodwill NW Loop 410,Forever 21 Black Dress Sleeveless Velvet Stripe Ribbed Bodycon S,A0988,$6.49 ,$7.03 ,WEARING,,,,,,,,,,
,Facebook Marketplace,Hollister Denim Shorts Cuffed Size 7/28,A0994,$0.85 ,$0.85 ,7/9/2020,20207,Poshmark,$12.00 ,$2.95 ,$0.00 ,$9.05 ,$8.20 ,6/3/2021,20216,329
,Facebook Marketplace,American Rag Cie Boho Peasant Blouse,A0995,$0.85 ,$0.85 ,4/5/2021,20214,Poshmark,$19.00 ,$3.80 ,$0.00 ,$15.20 ,$14.35 ,4/20/2021,20214,15
7,Facebook Marketplace,Japna Striped Floral Blouse Ruffle Racer Back Tank M,A0998,$0.85 ,$0.85 ,6/18/2020,20206,,,,,,,,,796
,Facebook Marketplace,Victoria's Secret Striped Pajama Bottom M,B0039,$0.92 ,$0.92 ,7/24/2020,20207,Poshmark,$19.50 ,$3.90 ,$1.23 ,$14.37 ,$13.45 ,5/27/2021,20215,307
3,Goodwill Cibolo,Cabi Ginger Top 3070 Animal Print S,B0043,$4.79 ,$5.19 ,6/12/2020,20206,,,,,,,,,802
5,Goodwill Cibolo,Lilly Pulitzer Island Polo Green S,B0045,$4.79 ,$5.19 ,8/13/2020,20208,,,,,,,,,740
,Goodwill N Loop 1604,Express Lace Metallic Cut Out Tank S,B0047,$4.79 ,$5.19 ,7/24/2020,20207,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$10.81 ,1/17/2021,20211,177
6,Goodwill N Loop 1604,Halogen Classic Blazer Graph Check 4,B0048,$3.25 ,$3.51 ,7/24/2020,20207,,,,,,,,,760
3,Garage Sale,Ann Taylor LOFT Floral Embellished Purple Cardigan Short Sleeve M,B0051,$2.00 ,$2.00 ,6/23/2020,20206,,,,,,,,,791
4,Garage Sale,Chelsea & Violet Boho Chevron Blouse S,B0055,$1.00 ,$1.00 ,7/24/2020,20207,,,,,,,,,760
