Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
Texas Thrift Store,Black & Colorful Abstract Print New Directions,A0137,$0.99 ,$1.07 ,11/21/2019,201911,Poshmark,$7.00 ,$2.95 ,$0.00 ,$4.05 ,$2.98 ,11/29/2019,201911,8
Texas Thrift Store,Banana Republic Green Silk Blouse,A0138,$0.99 ,$1.07 ,11/12/2019,201911,Poshmark,$8.00 ,$1.60 ,$0.00 ,$6.40 ,$5.33 ,4/24/2020,20204,164
Texas Thrift Store,Altar'd State Tan/Cream Knit Top/Tunic Boho,A0139,$0.99 ,$1.07 ,11/21/2019,201911,ThredUp,,,,,,,,1006
Texas Thrift Store,Joie Silk Acacia Dolman Top Striped Neon,A0140,$0.99 ,$1.07 ,11/12/2019,201911,,,,,,,,,1015
Texas Thrift Store,Decree Oversized High Low Teal Blouse,A0141,$0.99 ,$1.07 ,11/12/2019,201911,Poshmark,$5.00 ,$1.00 ,$0.00 ,$4.00 ,$2.93 ,2/13/2020,20202,93
Texas Thrift Store,Annalee + Hope Striped Printed Top,A0142,$0.99 ,$1.07 ,11/12/2019,201911,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($1.07),10/25/2020,202010,348
Texas Thrift Store,Aeropostale Plaid Embroidered Peplum Top,A0143,$0.99 ,$1.07 ,11/21/2019,201911,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($1.07),8/14/2020,20208,267
Texas Thrift Store,Nicole Miller Black/Green Print Blouse,A0144,$0.99 ,$1.07 ,11/21/2019,201911,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($1.07),10/25/2020,202010,339
Texas Thrift Store,Abercrombie & Fitch floral peplum peasant top,A0145,$0.99 ,$1.07 ,11/21/2019,201911,ThredUp,$23.99 ,$19.91 ,$0.00 ,$4.08 ,$3.01 ,8/20/2020,20208,273
Texas Thrift Store,J. Crew Chambray denim short sleeved dress,A0146,$0.99 ,$1.07 ,11/21/2019,201911,,,,,,,,,1006
Texas Thrift Store,Flying Tomato off the shoulder tunic dress,A0147,$0.99 ,$1.07 ,11/21/2019,201911,Poshmark,$16.00 ,$3.20 ,$0.00 ,$12.80 ,$11.73 ,2/2/2020,20202,73
Texas Thrift Store,Jealous Tomato Cape Style Navy Embroidered Blouse,A0148,$0.99 ,$1.07 ,11/21/2019,201911,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($1.07),12/29/2020,202012,404
Texas Thrift Store,St. John's Bay Peasant Chambray Top,A0149,$0.99 ,$1.07 ,11/21/2019,201911,Poshmark,$14.00 ,$2.80 ,$0.00 ,$11.20 ,$10.13 ,1/5/2020,20201,45
