Bin#,Source,SKU,Item,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
12,Goodwill NW Loop 410,A0988,Forever 21 Black Dress Sleeveless Velvet Stripe Ribbed Bodycon S,$6.49 ,$7.03 ,6/18/2022,20226,,,,,,,,,66
7,Facebook Marketplace,A0998,Japna Striped Floral Blouse Ruffle Racer Back Tank M,$0.85 ,$0.85 ,6/18/2020,20206,,,,,,,,,796
3,Goodwill Cibolo,B0043,Cabi Ginger Top 3070 Animal Print S,$4.79 ,$5.19 ,6/12/2020,20206,,,,,,,,,802
5,Goodwill Cibolo,B0045,Lilly Pulitzer Island Polo Green S,$4.79 ,$5.19 ,8/13/2020,20208,,,,,,,,,740
6,Goodwill N Loop 1604,B0048,Halogen Classic Blazer Graph Check 4,$3.25 ,$3.51 ,7/24/2020,20207,,,,,,,,,760
3,Garage Sale,B0051,Ann Taylor LOFT Floral Embellished Purple Cardigan Short Sleeve M,$2.00 ,$2.00 ,6/23/2020,20206,Poshmark,$23.00 ,$4.60 ,$0.00 ,$18.40 ,$16.40 ,3/30/2022,20223,645
4,Garage Sale,B0055,Chelsea & Violet Boho Chevron Blouse S,$1.00 ,$1.00 ,7/24/2020,20207,,,,,,,,,760
3,Garage Sale,B0056,Paper Crane Boho Racer Back Tank S,$1.00 ,$1.00 ,7/24/2020,20207,,,,,,,,,760
4,Garage Sale,B0057,Nine West Jeans Plaid Long Sleeve Tunic Top S,$1.00 ,$1.00 ,7/24/2020,20207,,,,,,,,,760
4,Garage Sale,B0063,Charlotte Russe Floral Kimono Duster Sleeveless M,$2.00 ,$2.00 ,7/18/2020,20207,,,,,,,,,766
10-Sep,Garage Sale,B0064,apana Floral Mesh High Waisted Capri Legging XS,$3.00 ,$3.00 ,7/9/2020,20207,,,,,,,,,775
12-Nov,Garage Sale,B0065,AEO Purple Long Sleeve Sweater Dress S,$3.00 ,$3.00 ,6/23/2020,20206,,,,,,,,,791
14,Goodwill Austin Hwy,B0066,Tory Burch Bag Large Travel Nylon Messenger Diaper Bag,$14.99 ,$16.23 ,6/28/2020,20206,,,,,,,,,786
6,Goodwill Austin Hwy,B0069,Madewell Striped Button Down S,$4.79 ,$5.19 ,7/27/2020,20207,Poshmark,$18.00 ,$3.60 ,$0.00 ,$14.40 ,$9.21 ,5/27/2022,20225,669
6,Goodwill Austin Hwy,B0070,Top Shop Animal Print Top Button Down 6,$4.79 ,$5.19 ,7/27/2020,20207,,,,,,,,,757
12,Goodwill Austin Hwy,B0071,Ann Taylor LOFT Maxi Dress 0,$6.49 ,$7.03 ,6/22/2022,20226,,,,,,,,,62
12-Nov,Goodwill Austin Hwy,B0073,Lulu's Multitask Queen Shift Dress XS,$6.49 ,$7.03 ,8/13/2020,20208,Poshmark,$21.25 ,$4.25 ,$0.00 ,$17.00 ,$9.97 ,3/20/2022,20223,584
5,Goodwill Austin Hwy,B0077,Isla Fitness Threads Seashell Tank S,$4.79 ,$5.19 ,8/13/2020,20208,,,,,,,,,740
2,Goodwill Cibolo,B0082,Umgee Pink Long Sleeve Wrap Top Blouse S,$2.40 ,$2.59 ,8/5/2020,20208,,,,,,,,,748
12-Nov,Goodwill NW Loop 410,B0084,Lumiere Tiered Hem Dress Houndstooth High Low L,$6.49 ,$7.03 ,7/17/2020,20207,,,,,,,,,767
3,Goodwill NW Loop 410,B0085,Monteau Floral Boho Bell Sleeve Blouse M,$4.79 ,$5.19 ,7/18/2020,20207,,,,,,,,,766
N/A,Goodwill Cibolo,B0089,DV Target Perforated Ankle Bootie Faux Suede Tan 6.5,$6.99 ,$7.57 ,8/17/2020,20208,,,,,,,,,736
,Goodwill N Loop 1604,B0100,White Birch Striped Blouse Long Sleeve Open Back M,$4.79 ,$5.19 ,8/3/2020,20208,,,,,,,,,750
2,Goodwill N Loop 1604,B0101,Lucky Brand Floral Short Sleeve Blouse Ruffle XS,$4.79 ,$5.19 ,8/5/2020,20208,,,,,,,,,748
6,Goodwill N Loop 1604,B0102,Know Your Worth Graphic T Shirt Burnout S,$2.99 ,$3.24 ,8/13/2020,20208,,,,,,,,,740
5,Goodwill N Loop 1604,B0104,41 Hawthorn Stitch Fix Floral Blouse M,$4.79 ,$5.19 ,8/6/2020,20208,,,,,,,,,747
12-Nov,Goodwill N Loop 1604,B0107,Topshop Peplum Scuba Dress Royal Blue 2,$6.49 ,$7.03 ,9/18/2020,20209,Poshmark,$30.00 ,$6.00 ,$0.00 ,$24.00 ,$16.97 ,6/20/2022,20226,640
,Goodwill N Loop 1604,B0108,Monteau Floral Dress Ruffle Cap Sleeve M,$6.49 ,$7.03 ,7/31/2020,20207,,,,,,,,,753
5,Goodwill N Loop 1604,B0109,Postage Stamp Anthro Blouse S,$4.79 ,$5.19 ,8/13/2020,20208,Poshmark,$25.00 ,$5.00 ,$0.00 ,$20.00 ,$14.81 ,6/5/2022,20226,661
6,Goodwill N Loop 1604,B0110,Fig and Flower Boho Gypsy Blouse S,$4.79 ,$5.19 ,8/6/2020,20208,,,,,,,,,747
WEARING,Goodwill N Loop 1604,B0114,Fabletics Black High Waist Legging 7/8,$4.79 ,$5.19 ,WEARING,,,,,,,,,,
6,Goodwill N Loop 1604,B0117,Free People Moonlight Mile Print Penny Georgette S,$4.79 ,$5.19 ,7/30/2020,20207,,,,,,,,,754
5,Texas Thrift Store,B0119,Lux LA Floral Boho Long Sleeve Blouse S,$1.99 ,$2.15 ,7/28/2020,20207,,,,,,,,,756
5,Texas Thrift Store,B0120,Pink Rose Floral Boho Tassel Tank M,$1.49 ,$1.61 ,7/28/2020,20207,,,,,,,,,756
10-Sep,Texas Thrift Store,B0121,Zella High Waist Legging Cut Out Ankle XS,$4.98 ,$5.39 ,8/18/2020,20208,,,,,,,,,735
6,Texas Thrift Store,B0125,AEO Floral Crop Boho Blouse M,$4.98 ,$5.39 ,8/2/2020,20208,,,,,,,,,751
5,Texas Thrift Store,B0126,Cupcakes and Cashmere Anthro Jantel Floral Blouse Bell Sleeve Boho S,$4.98 ,$5.39 ,8/12/2020,20208,,,,,,,,,741
2,Texas Thrift Store,B0128,Lucky Brand Popover Blouse S,$4.98 ,$5.39 ,8/13/2020,20208,,,,,,,,,740
5,Texas Thrift Store,B0133,Skies Are Blue Stitch Fix Long Sleeve Blouse M,$3.49 ,$3.77 ,7/28/2020,20207,,,,,,,,,756
5,Texas Thrift Store,B0136,Kut from the Kloth Floral Button Down Sheer S,$3.49 ,$3.77 ,8/13/2020,20208,,,,,,,,,740
7,Texas Thrift Store,B0138,The Limited Striped Tank Blouse M,$2.09 ,$2.26 ,8/8/2020,20208,,,,,,,,,745
6,Texas Thrift Store,B0139,Meraki Animal Print Blouse S,$4.19 ,$4.53 ,7/29/2020,20207,,,,,,,,,755
,Texas Thrift Store,B0140,Spiritual Gangster Maya Floral Kimono Robe OS,$4.98 ,$5.39 ,Donated,,Donated,,,,,,5/23/2022,20225,
6,Texas Thrift Store,B0141,Kut from the Kloth Floral Button Down Sheer M,$4.98 ,$5.39 ,7/29/2020,20207,,,,,,,,,755
5,Texas Thrift Store,B0142,Ann Taylor LOFT Striped Tank XS,$3.98 ,$4.31 ,8/8/2020,20208,,,,,,,,,745
2,Texas Thrift Store,B0143,Umgee Patchwork Boho Floral Blouse S,$6.98 ,$7.56 ,7/29/2020,20207,,,,,,,,,755
7,Texas Thrift Store,B0144,Cabi Purple Eva Peplum Blouse 731 M,$4.98 ,$5.39 ,7/29/2020,20207,,,,,,,,,755
6,Texas Thrift Store,B0146,Zara Basic Peplum Bell Sleeve Polka Dot Top XS,$4.98 ,$5.39 ,7/30/2020,20207,Poshmark,$18.00 ,$3.60 ,$0.00 ,$14.40 ,$9.01 ,7/30/2022,20227,730
7,Texas Thrift Store,B0147,Cabi Flaunt Wrap Blouse 3077 M,$4.98 ,$5.39 ,7/30/2020,20207,Poshmark,$28.00 ,$5.60 ,$0.00 ,$22.40 ,$17.01 ,7/22/2022,20227,722
10-Sep,Texas Thrift Store,B0148,Alo Yoga Space Dye Teal Air Brush Capri Crop Legging,$4.98 ,$5.39 ,8/18/2020,20208,,,,,,,,,735
7,Texas Thrift Store,B0149,Zara Woman White Bell Sleeve Blouse M,$5.98 ,$6.47 ,8/13/2020,20208,,,,,,,,,740
5,Texas Thrift Store,B0150,Cloth & Stone Anthropologie Split Back Fray Chambray Top M,$4.98 ,$5.39 ,8/10/2020,20208,,,,,,,,,743
5,Texas Thrift Store,B0151,Meraki Floral Boho Blouse S,$3.98 ,$4.31 ,8/13/2020,20208,,,,,,,,,740
5,Texas Thrift Store,B0152,Meraki Floral Kimono Cardigan M,$5.98 ,$6.47 ,8/13/2020,20208,,,,,,,,,740
5,Texas Thrift Store,B0155,Pleione NWT Surplice Roll Sleeve High/Low Blouse S,$3.98 ,$4.31 ,8/12/2020,20208,,,,,,,,,741
N/A,Goodwill Austin Hwy,B0156,Lucky Brand Suede Leather Moccasins Loafers 7.5,$6.99 ,$7.57 ,8/17/2020,20208,,,,,,,,,736
12-Nov,Goodwill Austin Hwy,B0159,Anthropologie Pins & Needles Polka Dot Floral Dress S,$7.99 ,$8.65 ,8/10/2020,20208,Poshmark,$32.00 ,$6.40 ,$0.00 ,$25.60 ,$16.95 ,5/19/2022,20225,647
Hanging,Goodwill Austin Hwy,B0164,Elie Tahari NWT Anetta Jacket Blazer Lovely in Pink Small,$7.99 ,$8.65 ,8/12/2020,20208,,,,,,,,,741
14,Goodwill N Loop 1604,B0170,Betsey Johnson Floral Crossbody Purse,$5.00 ,$5.41 ,8/17/2020,20208,,,,,,,,,736
6,Goodwill N Loop 1604,B0172,AEO Semi Sheer Floral Blouse S,$2.40 ,$2.60 ,9/18/2020,20209,,,,,,,,,704
10-Sep,Goodwill Cibolo,B0174,Zumba Legging Ruched L,$4.79 ,$5.19 ,8/18/2020,20208,,,,,,,,,735
13,Goodwill Cibolo,B0177,Almost Famous Shortall Distressed Overall Shorts 1,$7.99 ,$8.65 ,8/18/2020,20208,,,,,,,,,735
6,Goodwill Cibolo,B0182,Express Black Open Back Top XS,$4.79 ,$5.19 ,9/18/2020,20209,,,,,,,,,704
12-Nov,Goodwill Cibolo,B0184,Karl Lagerfeld White Sleeveless Dot Sheath Dress 6,$6.50 ,$7.04 ,9/18/2020,20209,,,,,,,,,704
